id,length,positivity,negativity,pubdate_day,pubdate_month,pubdate_year,pubdate_dayofweek,pubdate_weeknr
569eba862d00594dd4c62efb,3261,2,-3,7,1,2015,2,1
569ebbbd2d00594dd4c6311b,1980,1,-3,10,1,2015,5,1
569ebc102d00594dd4c631a5,4068,2,-3,11,1,2015,6,2
569ebc852d00594dd4c6326c,720,1,-2,13,1,2015,1,2
569ebdf92d00594dd4c634ea,2278,2,-3,20,1,2015,1,3
569ebf392d00594dd4c63715,3956,3,-4,23,1,2015,4,3
569ec0882d00594dd4c639e5,670,3,-2,27,1,2015,1,4
569ec1082d00594dd4c63af5,2023,3,-3,29,1,2015,3,4
569ec14c2d00594dd4c63b73,812,1,-4,30,1,2015,4,4
569ec1812d00594dd4c63bd4,887,1,-2,30,1,2015,4,4
569f5cbd2d0059663a7bca00,2281,3,-3,17,1,2014,4,2
569f5cbd2d0059663a7bca65,2240,1,-3,20,1,2014,0,3
569f5cbd2d0059663a7bcac4,2149,3,-3,30,1,2014,3,4
569f5cc42d0059663a7bd4a2,568,1,-1,7,1,2014,1,1
569f5cc52d0059663a7bd53c,773,3,-2,8,1,2014,2,1
569f5cc62d0059663a7bd6c3,3590,3,-4,9,1,2014,3,1
569f5cc62d0059663a7bd6e7,364,1,-3,9,1,2014,3,1
569f5cc72d0059663a7bda75,1964,3,-2,13,1,2014,0,2
569f5cc82d0059663a7bdbc0,3102,3,-3,14,1,2014,1,2
569f5cc82d0059663a7bdbce,840,1,-2,14,1,2014,1,2
569f5cc82d0059663a7bdc05,3837,4,-3,14,1,2014,1,2
569f5cc82d0059663a7bdc69,1604,1,-3,14,1,2014,1,2
569f5cc92d0059663a7bdf11,1277,1,-2,16,1,2014,3,2
569f5cca2d0059663a7bdfe4,1487,3,-3,17,1,2014,4,2
569f5cca2d0059663a7bdfeb,1210,3,-3,17,1,2014,4,2
569f5cca2d0059663a7bdfef,3123,3,-3,17,1,2014,4,2
569f5cca2d0059663a7bdff7,1250,3,-2,17,1,2014,4,2
569f5cca2d0059663a7be01f,1644,3,-3,17,1,2014,4,2
569f5cca2d0059663a7be05a,776,2,-2,17,1,2014,4,2
569f5cca2d0059663a7be0a5,5223,4,-3,17,1,2014,4,2
569f5cca2d0059663a7be0aa,4945,3,-3,17,1,2014,4,2
569f5ccb2d0059663a7be175,2641,2,-3,18,1,2014,5,2
569f5ccb2d0059663a7be37b,701,1,-1,20,1,2014,0,3
569f5ccb2d0059663a7be37e,3072,3,-3,20,1,2014,0,3
569f5ccc2d0059663a7be404,2364,3,-4,20,1,2014,0,3
569f5ccc2d0059663a7be40f,763,1,-2,20,1,2014,0,3
569f5ccc2d0059663a7be443,1319,1,-3,20,1,2014,0,3
569f5ccc2d0059663a7be564,499,3,-1,29,1,2014,2,4
569f5ccc2d0059663a7be57d,899,3,-2,29,1,2014,2,4
569f5ccc2d0059663a7be585,2221,3,-3,29,1,2014,2,4
569f5ccc2d0059663a7be61b,5583,4,-3,29,1,2014,2,4
569f5ccd2d0059663a7be6cc,1995,3,-3,30,1,2014,3,4
569f5ccd2d0059663a7be6ce,1995,3,-3,30,1,2014,3,4
569f5ccd2d0059663a7be6f1,1166,2,-3,30,1,2014,3,4
569f5ccd2d0059663a7be707,261,1,-3,30,1,2014,3,4
569f5cce2d0059663a7be779,5859,4,-3,30,1,2014,3,4
569f5cd22d0059663a7be908,3271,3,-3,31,1,2014,4,4
