,wijk,stadsdeel,code,year,woz-waarde
135,Osdorp-Oost,Nieuw-West,F81,2015,166307.0
136,Osdorp-Midden,Nieuw-West,F82,2015,181699.0
137,De Punt,Nieuw-West,F83,2015,153818.0
138,Middelveldsche Akerpolder,Nieuw-West,F84,2015,263399.0
139,Slotervaart-Noord,Nieuw-West,F85,2015,185123.0
140,Overtoomse Veld,Nieuw-West,F86,2015,176446.0
141,Westlandgracht,Nieuw-West,F87,2015,191464.0
142,Sloter-/Riekerpolder,Nieuw-West,F88,2015,251111.0
143,Slotervaart-Zuid,Nieuw-West,F89,2015,179043.0
144,Zuidas,Zuid,K23,2015,466043.0
145,Oude Pijp,Zuid,K24,2015,254036.0
146,Nieuwe Pijp,Zuid,K25,2015,238217.0
147,Zuid-Pijp,Zuid,K26,2015,228441.0
148,Hoofddorppleinbuurt,Zuid,K44,2015,232791.0
149,Schinkelbuurt,Zuid,K45,2015,248310.0
150,Willemspark,Zuid,K46,2015,609908.0
151,Museumkwartier,Zuid,K47,2015,567512.0
152,Stadionbuurt,Zuid,K48,2015,271460.0
153,Apollobuurt,Zuid,K49,2015,664514.0
154,Scheldebuurt,Zuid,K52,2015,310248.0
155,IJselbuurt,Zuid,K53,2015,235385.0
156,Rijnbuurt,Zuid,K54,2015,229718.0
157,Prinses Irenebuurt eo,Zuid,K59,2015,506697.0
158,Buitenveldert-West,Zuid,K90,2015,249529.0
159,Buitenveldert-Oost,Zuid,K91,2015,231585.0
160,Weesperzijde,Oost,M27,2015,275509.0
161,Oosterparkbuurt,Oost,M28,2015,215454.0
162,Dapperbuurt,Oost,M29,2015,216466.0
163,Transvaalbuurt,Oost,M30,2015,204797.0
164,Indische Buurt-West,Oost,M31,2015,188495.0
165,Indische Buurt-Oost,Oost,M32,2015,192657.0
166,Oostelijk Havengebied,Oost,M33,2015,315297.0
167,Zeeburgereiland/Nieuwe Diep,Oost,M34,2015,123993.0
168,IJburg-West,Oost,M35,2015,319688.0
169,IJburg-Zuid,Oost,M51,2015,293659.0
170,Frankendael,Oost,M55,2015,219283.0
171,Middenmeer,Oost,M56,2015,275728.0
172,Betondorp,Oost,M57,2015,185883.0
173,De Omval/Overamstel,Oost,M58,2015,173995.0
174,Volewijck,Noord,N60,2015,157332.0
175,IJplein/Vogelbuurt,Noord,N61,2015,156395.0
176,Tuindorp Nieuwendam,Noord,N62,2015,175622.0
177,Tuindorp Buiksloot,Noord,N63,2015,169285.0
178,Nieuwendammerdijk/Buiksloterdijk,Noord,N64,2015,387460.0
179,Tuindorp Oostzaan,Noord,N65,2015,172054.0
180,Oostzanerwerf,Noord,N66,2015,192289.0
181,Kadoelen,Noord,N67,2015,267617.0
182,Waterlandpleinbuurt,Noord,N68,2015,163369.0
183,Buikslotermeer,Noord,N69,2015,150413.0
184,Banne Buiksloot,Noord,N70,2015,168651.0
185,Noordelijke IJ-oevers-West,Noord,N71,2015,246760.0
186,Noordelijke IJ-oevers-Oost,Noord,N72,2015,211602.0
187,Waterland,Noord,N73,2015,437326.0
188,Elzenhagen,Noord,N74,2015,280083.0
189,Amstel III/Bullewijk,Zuidoost,T92,2015,
190,"Bijlmer-Centrum (D,F,H)",Zuidoost,T93,2015,123214.0
191,"Bijlmer-Oost (E,G,K)",Zuidoost,T94,2015,143943.0
192,Nellestein,Zuidoost,T95,2015,137902.0
193,Holendrecht/Reigersbos,Zuidoost,T96,2015,143554.0
194,Gein,Zuidoost,T97,2015,161513.0
195,Driemond,Zuidoost,T98,2015,224884.0
196,Burgwallen-Oude Zijde,Centrum,A00,2016,289984.0
197,Burgwallen-Nieuwe Zijde,Centrum,A01,2016,296762.0
198,Grachtengordel-West,Centrum,A02,2016,560841.0
199,Grachtengordel-Zuid,Centrum,A03,2016,531225.0
200,Nieuwmarkt/Lastage,Centrum,A04,2016,340364.0
201,Haarlemmerbuurt,Centrum,A05,2016,345189.0
202,Jordaan,Centrum,A06,2016,307344.0
203,De Weteringschans,Centrum,A07,2016,399942.0
204,Weesperbuurt/Plantage,Centrum,A08,2016,353628.0
205,Oostelijke Eilanden/Kadijken,Centrum,A09,2016,276481.0
206,Westelijk Havengebied,Westpoort,B10,2016,224491.0
207,Houthavens,West,E12,2016,188360.0
208,Spaarndammer- en Zeeheldenbuurt,West,E13,2016,222371.0
209,Staatsliedenbuurt,West,E14,2016,241366.0
210,Centrale Markt,West,E15,2016,291913.0
211,Frederik Hendrikbuurt,West,E16,2016,248089.0
212,Da Costabuurt,West,E17,2016,297765.0
213,Kinkerbuurt,West,E18,2016,248384.0
214,Van Lennepbuurt,West,E19,2016,234660.0
215,Helmersbuurt,West,E20,2016,346461.0
216,Overtoomse Sluis,West,E21,2016,298880.0
217,Vondelbuurt,West,E22,2016,630566.0
218,Sloterdijk,West,E36,2016,296372.0
219,Landlust,West,E37,2016,188962.0
220,Erasmuspark,West,E38,2016,194418.0
221,De Kolenkit,West,E39,2016,182309.0
222,Geuzenbuurt,West,E40,2016,229124.0
223,Van Galenbuurt,West,E41,2016,196805.0
224,Hoofdweg eo,West,E42,2016,193554.0
