,wijk,stadsdeel,code,year,woz-waarde
480,Noordelijke IJ-oevers-Oost,Noord,N72,2018,196081.0
481,Waterland,Noord,N73,2018,565361.0
482,Elzenhagen,Noord,N74,2018,387474.0
483,Amstel III/Bullewijk,Zuidoost,T92,2018,81201.0
484,"Bijlmer-Centrum (D,F,H)",Zuidoost,T93,2018,152427.0
485,"Bijlmer-Oost (E,G,K)",Zuidoost,T94,2018,182291.0
486,Nellestein,Zuidoost,T95,2018,170441.0
487,Holendrecht/Reigersbos,Zuidoost,T96,2018,181189.0
488,Gein,Zuidoost,T97,2018,199542.0
489,Driemond,Zuidoost,T98,2018,267328.0
